stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
10499,10499,Jane Street,,-27.47886,153.009555,1,http://translink.com.au/stop/010499/gtfs/,0,,
273,273,"Coronation Dr at Boomerang St, stop 3",,-27.469223,153.00984,1,http://translink.com.au/stop/000273/gtfs/,0,,
1043,1043,"Montague Rd near Mollison St, stop 6",,-27.475406,153.009845,1,http://translink.com.au/stop/001043/gtfs/,0,,
1062,1062,"Vulture St at Cambridge Street, stop 8",,-27.48063,153.010155,1,http://translink.com.au/stop/001062/gtfs/,0,,
1063,1063,"Vulture St at Cambridge Street, stop 8",,-27.480778,153.010292,1,http://translink.com.au/stop/001063/gtfs/,0,,
1071,1071,Jane near Amersham Street,,-27.479066,153.010981,1,http://translink.com.au/stop/001071/gtfs/,0,,
906,906,"Milton Rd at Suncorp, stop 4",,-27.466564,153.011088,1,http://translink.com.au/stop/000906/gtfs/,0,,
905,905,"Milton Rd at Suncorp, stop 3/4",,-27.466741,153.01111,1,http://translink.com.au/stop/000905/gtfs/,0,,
1041,1041,"Montague Rd near Brereton St, stop 5",,-27.474026,153.011385,1,http://translink.com.au/stop/001041/gtfs/,0,,
1101,1101,"Mollison St near Boundary St, stop 5",,-27.477132,153.011573,1,http://translink.com.au/stop/001101/gtfs/,0,,
1064,1064,"Vulture St at West End, stop 7",,-27.480848,153.011631,1,http://translink.com.au/stop/001064/gtfs/,0,,
10506,10506,Boundary near Vulture Street Hail 'n' Ride,,-27.481997,153.011797,1,http://translink.com.au/stop/010506/gtfs/,0,,
10079,10079,"Mollison St near Melbourne St, stop 5",,-27.477055,153.011924,1,http://translink.com.au/stop/010079/gtfs/,0,,
1065,1065,"Boundary St at West End, stop 7",,-27.480598,153.012199,1,http://translink.com.au/stop/001065/gtfs/,0,,
1070,1070,"Boundary St at Jane Street, stop 6",,-27.479406,153.012279,1,http://translink.com.au/stop/001070/gtfs/,0,,
1073,1073,"Boundary St at Jane Street, stop 6",,-27.479066,153.012471,1,http://translink.com.au/stop/001073/gtfs/,0,,
1056,1056,"Petrie Tce at Windmill Cafe, stop 3",,-27.46567,153.012496,1,http://translink.com.au/stop/001056/gtfs/,0,,
1074,1074,"Boundary St at West End Junction, stop 5",,-27.477889,153.012562,1,http://translink.com.au/stop/001074/gtfs/,0,,
10505,10505,Vulture Street Hail 'n' Ride,,-27.481004,153.012684,1,http://translink.com.au/stop/010505/gtfs/,0,,
1075,1075,"Boundary St at West End Junction, stop 5",,-27.477756,153.0127,1,http://translink.com.au/stop/001075/gtfs/,0,,
10503,10503,Sussex Street Hail 'n' Ride,,-27.481665,153.013013,1,http://translink.com.au/stop/010503/gtfs/,0,,
1082,1082,"Browning St near Boundary St, stop 5",,-27.477894,153.013113,1,http://translink.com.au/stop/001082/gtfs/,0,,
1081,1081,"Browning St near Boundary Rd, stop 5",,-27.477727,153.01314,1,http://translink.com.au/stop/001081/gtfs/,0,,
1020,1020,"Upper Roma St near Quay St, stop 3",,-27.46621,153.013906,1,http://translink.com.au/stop/001020/gtfs/,0,,
